"","File accession","File format","Output type","Experiment accession","Assay","Biosample term id","Biosample term name","Biosample type","Biosample organism","Biosample treatments","Biosample treatments amount","Biosample treatments duration","Experiment target","Library made from","Library depleted in","Library extraction method","Library lysis method","Library crosslinking method","Library strand specific","Experiment date released","Project","RBNS protein concentration","Library fragmentation method","Library size range","Biological replicate(s)","Technical replicate","Read length","Mapped read length","Run type","Paired end","Paired with","Derived from","Size","Lab","md5sum","dbxrefs","File download URL","Assembly","Platform","Controlled by","File Status","Restricted","Audit WARNING","Audit INTERNAL_ACTION","Audit NOT_COMPLIANT","Audit ERROR"
"285","ENCFF928ZJV","bigBed broadPeak","hotspots","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF311ZED",2512554,"ENCODE Processing Pipeline","d2d921992bae7d4639160f76230659db",NA,"https://www.encodeproject.org/files/ENCFF928ZJV/@@download/ENCFF928ZJV.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"286","ENCFF610BME","bigBed narrowPeak","peaks","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF900EVQ",1450965,"ENCODE Processing Pipeline","71a26377d2e2830aa87f3eb1c370d2e4",NA,"https://www.encodeproject.org/files/ENCFF610BME/@@download/ENCFF610BME.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"287","ENCFF331HCM","bigBed broadPeak","hotspots","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF900EVQ",2495565,"ENCODE Processing Pipeline","4881f07ea7b06cbe2ddbf5af9028ae0b",NA,"https://www.encodeproject.org/files/ENCFF331HCM/@@download/ENCFF331HCM.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"288","ENCFF013WUK","bigBed narrowPeak","peaks","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF631VGN",873985,"ENCODE Processing Pipeline","1c572cb7ee197564737253196d992af4",NA,"https://www.encodeproject.org/files/ENCFF013WUK/@@download/ENCFF013WUK.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"289","ENCFF678BWC","bigBed broadPeak","hotspots","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF386YCJ",2227898,"ENCODE Processing Pipeline","f748bfb6ce495196834b3d5b9478accb",NA,"https://www.encodeproject.org/files/ENCFF678BWC/@@download/ENCFF678BWC.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"290","ENCFF110FRT","bigBed narrowPeak","peaks","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF861RXZ",1418206,"ENCODE Processing Pipeline","7ac65db3a968dff4eba21109d95f898e",NA,"https://www.encodeproject.org/files/ENCFF110FRT/@@download/ENCFF110FRT.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"291","ENCFF899JZD","bigBed broadPeak","hotspots","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF631VGN",1538063,"ENCODE Processing Pipeline","fb7167a653ce169c192c5b35f924d79f",NA,"https://www.encodeproject.org/files/ENCFF899JZD/@@download/ENCFF899JZD.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"292","ENCFF171VLR","bigBed narrowPeak","peaks","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF386YCJ",1271621,"ENCODE Processing Pipeline","f6ed72b06f0ca14784ad5d28567bbe98",NA,"https://www.encodeproject.org/files/ENCFF171VLR/@@download/ENCFF171VLR.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"293","ENCFF788CVG","bigBed broadPeak","hotspots","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF861RXZ",2452726,"ENCODE Processing Pipeline","8aa9d77aef15920656ce1fa219df30ac",NA,"https://www.encodeproject.org/files/ENCFF788CVG/@@download/ENCFF788CVG.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"296","ENCFF532UQW","bigWig","read-depth normalized signal","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF311ZED",518467551,"ENCODE Processing Pipeline","078a636fde9b094f2623889378ba7f97",NA,"https://www.encodeproject.org/files/ENCFF532UQW/@@download/ENCFF532UQW.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"297","ENCFF257BKZ","bigWig","read-depth normalized signal","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF417OBI",649273816,"ENCODE Processing Pipeline","3ef23f6e7e391f14a4268f80774815e5",NA,"https://www.encodeproject.org/files/ENCFF257BKZ/@@download/ENCFF257BKZ.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"298","ENCFF028CBV","bigWig","read-depth normalized signal","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF900EVQ",518281651,"ENCODE Processing Pipeline","ad2762f00e5eef616fe8ee86fd7d299d",NA,"https://www.encodeproject.org/files/ENCFF028CBV/@@download/ENCFF028CBV.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"299","ENCFF976QJH","bigWig","read-depth normalized signal","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"ENCFF386YCJ",508737681,"ENCODE Processing Pipeline","3d2a6371395c45c4bdb25f4188ecd7b6",NA,"https://www.encodeproject.org/files/ENCFF976QJH/@@download/ENCFF976QJH.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"300","ENCFF541DCN","bigWig","read-depth normalized signal","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"ENCFF861RXZ",568695950,"ENCODE Processing Pipeline","7136993a8cd1498c667c762c04faa5da",NA,"https://www.encodeproject.org/files/ENCFF541DCN/@@download/ENCFF541DCN.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"301","ENCFF281OIE","bigWig","read-depth normalized signal","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"ENCFF631VGN",504310054,"ENCODE Processing Pipeline","be32460b227e87a125bd4d3a939ee97a",NA,"https://www.encodeproject.org/files/ENCFF281OIE/@@download/ENCFF281OIE.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
